Company Name,Headquarter City,Headquarter Country,Founding Year,Website URL,Public / Private Status,Established / Startup Status,ADC Specialty,Acquisition Status,Total # drugs,# Preclinical drugs,# Phase 1 drugs,# Phase 2 drugs,# Phase 3 drugs,# Approved drugs,# Undisclosed drugs,Total # trials,# Phase 1 trials,# Phase 2 trials,# Phase 3 trials,# Co-developers,Co-developers,# Countries
"Holy Stone Healthcare Co., Ltd",Taipei,Taiwan,2001,https://www.hshc.com.tw/en,Public,Established,-,-,1,0,0,1,0,0,0,1,0,1,0,0,,0
Inhibrx,La Jolla,United States,2010,https://www.inhibrx.com/,Public,Startup,Antibody Developer,-,1,0,1,0,0,0,0,0,0,0,0,0,,0
Innate,Marseille,France,1999,https://www.innate-pharma.com/,Public,Established,Antibody Developer,-,1,0,0,0,0,0,1,0,0,0,0,1,AstraZeneca,0
Keymed Biosciences,Chengdu,China,2016,https://www.keymedbio.com/,Public,Startup,Antibody Developer,-,1,0,0,1,0,0,0,0,0,0,0,3,Lepu Biopharma | AstraZeneca | KYM Biosciences,16
Knoll (Europe),Ludwigshafen,Germany,1886,https://www.knoll.basf.com/,Acquired,Established,-,Acquired by BASF in 1990,1,0,0,0,0,1,0,0,0,0,0,1,Lonza Biologics,2
Kodiak Sciences,Palo Alto,United States,2009,https://www.kodiak.com/,Public,Startup,Antibody Developer,-,1,0,0,0,1,0,0,2,0,0,2,0,,12
KYM Biosciences,Hangzhou,China,2019,-,Acquired,Startup,Antibody Developer,Acquired by AstraZeneca,1,0,0,1,0,0,0,0,0,0,0,3,Lepu Biopharma | AstraZeneca | Keymed Biosciences,16
LaNova,Shanghai,China,2019,https://www.lanovamedicines.com/en,Private,Startup,Antibody Developer,-,1,0,0,1,0,0,0,0,0,0,0,1,Turning Point therapeutics,0
Ligand Pharmaceuticals,San Diego,United States,1987,https://www.ligand.com/,Public,Established,ADC Platform Technology,-,1,0,1,0,0,0,0,0,0,0,0,3,Astellas | Seagen | Agensys,0
Lonza Biologics,Visp,Switzerland,1897,https://www.lonza.com/,Public,Established,ADC Platform Technology,-,1,0,0,0,0,1,0,0,0,0,0,1,Knoll (Europe),2
Luzsana Biotechnology,Hangzhou,China,2019,https://www.luzsana.com/,Private,Startup,Antibody Developer,-,1,0,0,0,1,0,0,0,0,0,0,0,,72
MabVax,San Diego,United States,2006,https://www.mabvax.com/,Acquired,Startup,Antibody Developer,-,1,1,0,0,0,0,0,0,0,0,0,2,Wilex | Heidelberg Pharma,0
Mabwell (Shanghai),Shanghai,China,2017,https://www.mabwell.com/,Private,Startup,Antibody Developer,-,1,0,0,1,0,0,0,0,0,0,0,0,,0
Magenta,Cambridge,United States,2016,https://www.magentatx.com/,Public,Startup,Antibody Developer,-,1,0,0,1,0,0,0,0,0,0,0,1,Heidelberg Pharma,0
Menarini Ricerche,Florence,Italy,-,https://www.menarini.com/,Private,Established,-,-,1,0,1,0,0,0,0,0,0,0,0,1,Oxford BioTherapeutics,5
Merrimack,Cambridge,United States,2000,https://www.merrimack.com/,Public,Established,Antibody Developer,-,1,0,0,0,1,0,0,0,0,0,0,0,,54
MorphoSys AG,Planegg,Germany,1992,https://www.morphosys.com/,Acquired,Established,Antibody Developer,Acquired by Novartis in 2024,1,0,1,0,0,0,0,1,1,0,0,2,IMMUNOGEN | Bayer,0
Morphotek,Exton,United States,2001,https://www.morphotek.com/,Acquired,Startup,Antibody Developer,Acquired by Eisai in 2007,1,0,0,0,1,0,0,0,0,0,0,1,Eisai,28
Mythic Therapeutics,Cambridge,United States,2017,https://www.mythictx.com/,Private,Startup,ADC Platform Technology,-,1,0,1,0,0,0,0,1,1,0,0,0,,6
NanoCarrier (Japan),Chiba,Japan,1996,https://www.nanocarrier.co.jp/,Public,Established,ADC Platform Technology,-,1,1,0,0,0,0,0,0,0,0,0,1,Eisai,0
Nona Bioscience,Suzhou,China,2015,https://www.nonabio.com/,Private,Startup,Antibody Developer,-,1,0,0,0,0,0,1,0,0,0,0,1,Pfizer,0
Onco-Pharmakon Inc,Montreal,Canada,2015,https://onco-pharmakon.com/,Private,Startup,Antibody Developer,-,1,1,0,0,0,0,0,0,0,0,0,0,,0
Oncolinx,Boston,United States,2015,https://www.oncolinx.com/,Private,Startup,ADC Platform Technology,-,1,1,0,0,0,0,0,0,0,0,0,0,,0
OncoTherapy Science (Japan),Tokyo,Japan,2001,https://www.oncotherapy.co.jp/,Public,Established,Antibody Developer,-,1,0,1,0,0,0,0,0,0,0,0,0,,0
OnCusp Therapeutics,San Francisco,United States,2020,https://www.oncusptx.com/,Private,Startup,Antibody Developer,-,1,0,1,0,0,0,0,1,1,0,0,0,,1
Open Innovation Partners,Boston,United States,2017,https://openinnovationpartners.com/,Private,Startup,-,-,1,0,1,0,0,0,0,1,1,0,0,3,AstraZeneca | MedImmune | Tanabe Research Laboratories USA,1
"Orum Therapeutics USA, Inc",San Francisco,United States,2018,https://www.orumtx.com/,Private,Startup,Antibody Developer,-,1,0,1,0,0,0,0,1,1,0,0,0,,1
Oxford BioMedica,Oxford,United Kingdom,1995,https://oxb.com/,Public,Established,-,-,1,0,0,1,0,0,0,0,0,0,0,2,Pfizer | WYETH,1
Oxford BioTherapeutics,Oxford,United Kingdom,2004,https://www.oxfordbiotherapeutics.com/,Private,Startup,Antibody Developer,-,1,0,1,0,0,0,0,1,1,0,0,1,Menarini Ricerche,5
